日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-05-10,光通信材料,福晶科技,法拉第旋片,"光模块企业面临法拉第旋片供应紧缺","稀土供应限制；Cohr策略；国内光模块缺货","公告；客户订单；价格变化；供给缺口验证","待补充",低位多看逻辑,"传闻不实；供给恢复；价格回落",低位关注产业逻辑和基本面,,
2026-05-10,光通信材料,东田微,法拉第旋片/光学器件,"法拉第旋片紧缺核心受益之一","稀土供应限制；光模块物料紧缺","公告；客户订单；产品占比；价格变化","待补充",低位多看逻辑,"传闻不实；业务占比低；供给恢复",低位关注产业逻辑和基本面,,
2026-05-10,AI基础设施软件,博睿数据,软件/可观测性,"美股硬件切软件后短期反弹关注","Datadog业绩超预期映射；AI基础设施软件","公告；AI业务收入；客户；产品竞争力","待补充",提示机会；观察催化,"映射弱；基本面不足；短期反弹后回落",提示机会，观察事件催化,,
2026-05-10,AI基础设施软件,海量数据,数据库/基础软件,"AI基础设施软件短期反弹关注","美股软件映射；国产基础软件","公告；AI相关收入；客户订单","待补充",提示机会；观察催化,"映射弱；收入兑现慢",提示机会，观察事件催化,,
2026-05-10,AI基础设施软件,星环科技,数据库/大数据软件,"AI基础设施软件短期反弹关注","美股软件映射；国产基础软件","公告；AI相关收入；客户订单","待补充",提示机会；观察催化,"亏损压力；映射弱；收入兑现慢",提示机会，观察事件催化,,
2026-05-10,AI基础设施软件,网宿科技,边缘/云服务,"AI基础设施软件短期反弹关注","美股软件映射；AI基础设施需求","公告；AI相关收入；边缘算力业务","待补充",提示机会；观察催化,"业务弹性不足；主题交易回落",提示机会，观察事件催化,,
2026-03-04,先进测试/第三方测试,伟测科技,第三方测试,"受益昇腾服务器及国产算力芯片放量，错杀机会出现","先进制程后道封装测试通胀；1-2月经营数据预喜","公告；经营数据；客户结构；稼动率；价格；CAPEX","待补充",低位多看逻辑,"客户集中；估值波动；扩产不及预期",低位关注产业逻辑和基本面,,
2026-03-04,先进测试/探针卡,强一股份,探针卡,"探针卡龙头，先进制程测试通胀验证标的","国产算力放量；探针卡需求提升；经营数据预喜","公告；客户；订单；产能；毛利率","待补充",低位多看逻辑,"业务弹性待验证；估值波动；客户集中",低位关注产业逻辑和基本面,,
2026-03-04,先进测试/第三方测试,利扬芯片,第三方测试,"先进测试弹性标的","先进制程扩产；国产算力芯片测试需求","公告；客户结构；先进测试收入；稼动率；毛利率","待补充",低位多看逻辑,"客户订单不确定；竞争加剧",低位关注产业逻辑和基本面,,
2026-03-04,先进测试/耗材,矽电股份,测试相关设备材料,"先进测试相关设备材料标的","AI芯片测试通胀；国产替代","公告；业务结构；客户订单；产品验证","待补充",低位多看逻辑,"业务相关度待确认；订单兑现慢",低位关注产业逻辑和基本面,,
2026-03-04,先进测试/设备,精智达,测试设备,"先进测试相关设备标的","AI芯片测试复杂度提升；国产替代","公告；订单；客户验证；产品收入","待补充",低位多看逻辑,"技术验证；订单波动；估值波动",低位关注产业逻辑和基本面,,
2026-03-04,先进封装,盛合晶微,先进封装,"先进封装龙头，IPO催化或重估后道链","科创板IPO；CoWoS产能；国产AI芯片封装需求","IPO文件；客户；产能；良率；订单","待补充",提示机会；观察催化,"IPO进度；产能良率；客户集中",提示机会，观察事件催化,,
2026-03-04,先进封装,甬矽电子,先进封装,"先进封装产能布局逐步收获","马来西亚封测基地；AI/HPC封测需求","投资公告；产能；客户；收入确认","待补充",低位多看逻辑,"海外基地进度；资本开支压力；客户订单不确定",低位关注产业逻辑和基本面,,
2026-03-04,先进封装,长电科技,封测龙头,"封测龙头CAPEX上修，受益AI/HPC封测景气","资本开支上修；AI芯片封测需求","财报；CAPEX；HPC订单；客户结构","待补充",低位多看逻辑,"大市值弹性；行业周期；毛利率波动",低位关注产业逻辑和基本面,,
2026-03-04,混合键合/先进封装设备,拓荆科技,混合键合设备,"混合键合设备受益先进封装升级","CoWoS/先进封装升级；国产设备替代","公告；订单；客户验证；产品收入","待补充",低位多看逻辑,"产品验证周期；订单兑现；估值波动",低位关注产业逻辑和基本面,,
2026-03-04,液冷/昇腾链,英维克,液冷,"全球液冷份额假设标杆，供申菱等对比","AI服务器液冷放量；海外客户份额","公告；订单；收入；海外客户；毛利率","待补充",低位多看逻辑,"估值高；竞争加剧；份额不确定",低位关注产业逻辑和基本面,,
2026-03-04,液冷/昇腾链,川润股份,CDU代工/液冷,"作者更新称与昇腾合作不多，更多受益维谛液冷CDU代工","维谛审厂；CDU代工；海外液冷链","公告；客户认证；代工订单；昇腾合作证据","待补充",低位多看逻辑,"昇腾逻辑弱化；代工利润率；客户不确定",低位关注产业逻辑和基本面,,
2026-03-04,海外算力散热材料,德邦科技,TIM导热材料,"供货北美NV链，TIM材料从0到1低位逻辑变化","泰吉诺切入NV供应链；Rubin功耗提升；TIM价值量通胀","公告；客户认证；收入分项；GPU/CPU点位导入","待补充",低位多看逻辑,"量产周期长；客户导入失败；估值讲故事",低位关注产业逻辑和基本面,,
2026-03-04,户储/能源冲突,德业股份,户储,"中东户储做得较好，油气冲突下阶段性受益","欧洲天然气上涨；中东/欧洲户储需求；一季报超预期","财报；区域收入；订单；渠道库存；天然气价格","待补充",提示机会；观察催化,"冲突缓和；需求回落；AI主线吸金",提示机会，观察事件催化,,
2026-03-04,户储/能源冲突,艾罗能源,户储,"户储标的，受益市场扩张与产品拓展","能源价格上行；一季报和二季度订单能见度","财报；订单；区域收入；产品拓展","待补充",提示机会；观察催化,"持续性弱于AI；估值修复后回落",提示机会，观察事件催化,,
2026-03-04,户储/能源冲突,正泰电源,户储/逆变器,"户储标的，受益市场扩张与产品拓展","能源价格上行；一季报和二季度订单能见度","财报；订单；区域收入；产品拓展","待补充",提示机会；观察催化,"持续性弱于AI；竞争加剧",提示机会，观察事件催化,,
2026-03-04,户储/能源冲突,固德威,户储/逆变器,"户储标的，受益市场扩张与产品拓展","能源价格上行；一季报和二季度订单能见度","财报；订单；区域收入；产品拓展","待补充",提示机会；观察催化,"持续性弱于AI；库存和价格压力",提示机会，观察事件催化,,
2026-03-04,上海微电子链/光刻机,波长光电,光学元器件,"上海微电子融资和KrF DUV产业化预期可能带来供应链催化","上海微电子首轮融资；KrF/I线光刻机产业化","公告；客户关系；订单；收入占比；融资信息","待补充",低位多看逻辑,"供应链关系待证；短期情绪化；订单不确定",低位关注产业逻辑和基本面,,
2026-03-10,超节点网络侧,盛科通信,以太网Switch芯片,"超节点时代交换芯片核心增量，国产Switch芯片替代","昇腾950超节点；互联网大厂scale out/scale up；博通供给收紧","公告；客户认证；交换芯片产品线；大厂导入；收入分项","待补充",低位多看逻辑,"导入不及预期；技术路线竞争；估值提前反映；客户集中",低位关注产业逻辑和基本面,,
2026-03-10,先进封装设备,拓荆科技,混合键合/薄膜沉积,"去年看前道薄膜沉积，今年看后道混合键合","长存/长鑫订单；先进逻辑客户突破；混合键合设备订单","公告；年报；订单；客户验证；混合键合收入；招投标","待补充",低位多看逻辑,"订单预期过高；客户验证周期；先进封装收入占比不足",低位关注产业逻辑和基本面,,
2026-03-10,光储/美国市场,正泰电源,光伏逆变器/储能,"被忽略的北美光储新星，高毛利优质市场放量","美国工商业光伏市占；地面光伏出货；美国储能潜在放量；海外大储","财报；美国出货；订单；储能项目；政策关税；区域收入","待补充",提示机会；观察催化,"美国政策限制；关税；海外客户拓展不及预期；估值修复回落",提示机会，观察事件催化,,
2026-03-10,先进测试/第三方测试,伟测科技,第三方测试,"1-2月营收高增，高端产能释放，测试龙头景气度提升","1-2月营收3.21亿元同比+79.15%；新扩产能；高端测试收入增长","公司公告；产能利用率；高端测试收入；客户结构；后续季度财报","待补充",低位多看逻辑,"高增长不可持续；客户集中；扩产后稼动率波动；估值波动",低位关注产业逻辑和基本面,,
2026-03-10,先进测试/第三方测试,利扬芯片,第三方测试,"第三方测试调研称25年季度收入创新高，26年延续爬坡","先进制程测试外包；订单能见度；AI芯片测试时长提升","公司公告；调研纪要；季度收入；产能利用率；客户订单","待补充",低位多看逻辑,"订单能见度短；客户项目波动；测试价格不及预期",低位关注产业逻辑和基本面,,
2026-03-10,AI Agent基础设施软件,星环科技,向量数据库/GPU-Native数据库,"OpenClaw推动向量数据库和GPU-Native数据库需求","长期记忆；实时向量化；GPU加速向量检索；Agent深度研究","公告；AI相关收入；客户订单；产品性能；云厂合作","待补充",提示机会；观察催化,"映射交易过热；收入兑现慢；亏损压力",提示机会，观察事件催化,,
2026-03-10,AI Agent基础设施软件,海量数据,向量数据库/数据库软件,"OpenClaw推动向量数据库需求，软件端短期走强","Agent记忆；向量检索；国产数据库；Token消耗增长","公告；AI相关收入；客户订单；产品落地","待补充",提示机会；观察催化,"映射交易过热；收入兑现慢；主题退潮",提示机会，观察事件催化,,
2026-03-10,AI Agent基础设施软件,博睿数据,智能APM/可观测性,"Agent成本失控和链路黑盒带动智能APM需求","Token预算感知；链路追踪；根因分析；OpenClaw二次发酵","公告；AI相关收入；客户订单；产品功能；云厂合作","待补充",提示机会；观察催化,"映射交易过热；收入兑现慢；客户需求不及预期",提示机会，观察事件催化,,
2026-03-10,AI Agent基础设施软件,网宿科技,边缘计算/CDN,"Agent高频工具调用带动边缘计算CDN时延需求","工具调用次数增加；边缘节点加速；国产龙虾软件包普及","公告；AI边缘计算收入；客户订单；CDN业务增速","待补充",提示机会；观察催化,"业务弹性不足；传统CDN估值约束；主题退潮",提示机会，观察事件催化,,
